# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Oct 15 06:53:30 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
24 Sex c,24 Sex,1,2,Radial Velocity,2010,0,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,273.32000,111.24000,-69.92000,0,0.86000,0.35000,-0.22000,0,1.54,0.08,-0.08,0,72.0691000,0.6854000,-0.6728000,6.4535000,0.0230000,-0.0230000,6.2037400,0.0004976,-0.0004976
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,0,,,,,118.000000,1.300000,-1.300000,0,1271.31363,317.82841,-317.82841,0,4.00000,1.00000,-1.00000,0,0.17,0.01,-0.02,0,128.4840000,1.1960000,-1.1740000,16.1860000,1.1330000,-1.1330000,14.3374000,0.0007720,-0.0007720
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,0,,,,,84.000000,,,0,4131.79000,317.83000,-317.83000,0,13.00000,1.00000,-1.00000,0,0.19,0.02,-0.02,0,47.2000000,3.1000000,-3.1000000,15.7880000,0.2750000,-0.2750000,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,0,,,,,52.000000,6.000000,-6.000000,0,7786.50000,794.50000,-794.50000,0,24.50000,2.50000,-2.50000,0,0.40,0.05,-0.05,0,33.8281000,0.0864000,-0.0860000,14.2440000,0.0740000,-0.0740000,12.9025000,0.0011510,-0.0011510
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,0,,,,,156.000000,10.000000,-10.000000,0,4417.83700,349.61300,-349.61300,0,13.90000,1.10000,-1.10000,0,0.11,0.01,-0.01,0,40.0896412,0.1940496,-0.1940496,,,,15.0123000,0.0006240,-0.0006240
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,Imaging,2018,0,,,,,1950.000000,200.000000,-200.000000,0,3686.80952,413.17693,-317.82841,0,11.60000,1.30000,-1.00000,0,0.05,0.01,-0.01,0,66.0613000,0.4543000,-0.4482000,18.3000000,0.2000000,-0.2000000,15.6894000,0.0012240,-0.0012240
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,Imaging,2024,0,,,,,572.000000,7.000000,-7.000000,0,5720.91133,317.82841,-317.82841,0,18.00000,1.00000,-1.00000,0,0.26,0.02,-0.02,0,117.4350000,2.3200000,-2.2330000,,,,16.9967000,0.0010820,-0.0010820
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,0,,,,,15.000000,,,0,2383.60000,794.50000,-794.50000,0,7.50000,2.50000,-2.50000,0,0.02,,,0,120.4239870,5.4783417,-5.4783417,,,,18.9668000,0.0068330,-0.0068330
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,Imaging,2024,0,,,,,266.000000,8.000000,-8.000000,0,8899.19540,3178.28407,-2224.79885,0,28.00000,10.00000,-7.00000,0,,,,,,,,,,,18.3299000,0.0022940,-0.0022940
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,Imaging,2024,0,,,,,587.000000,2.000000,-2.000000,0,6356.56814,317.82841,-317.82841,0,20.00000,1.00000,-1.00000,0,0.59,0.02,-0.02,0,100.8620000,0.6030000,-0.5960000,16.9570000,0.3090000,-0.3090000,14.8180000,0.0017250,-0.0017250
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,0,,,,,55.000000,,,0,1589.15000,635.66000,-635.66000,0,5.00000,2.00000,-2.00000,0,0.02,,,0,64.3080000,0.6569000,-0.6440000,20.1500000,0.1900000,,17.4076000,0.0021540,-0.0021540
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,0,406.00000000,4.00000000,-4.00000000,0,0.920000,0.020000,-0.020000,0,603.87700,31.78300,-31.78300,0,1.90000,0.10000,-0.10000,0,0.48,,,0,396.3320000,6.3885000,-6.3885000,12.6510000,0.2150000,-0.2150000,12.1376000,0.0036870,-0.0036870
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,Imaging,2024,0,,,,,7493.000000,11.000000,-11.000000,0,3813.94088,317.82841,-317.82841,0,12.00000,1.00000,-1.00000,0,0.64,0.02,-0.02,0,34.1154000,0.0811000,-0.0807000,11.8040000,0.0700000,-0.0700000,10.8133000,0.0020880,-0.0020880
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,0,,,,,230.000000,20.000000,-20.000000,0,3972.87500,476.74500,-476.74500,0,12.50000,1.50000,-1.50000,0,0.60,0.05,-0.05,0,69.5737000,0.1592000,-0.1585000,12.3680000,0.0570000,-0.0570000,11.9484000,0.0007370,-0.0007370
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,0,335.10001000,2.50000000,-2.50000000,0,0.990000,0.020000,-0.020000,0,4392.41060,572.09400,-572.09400,0,13.82000,1.80000,-1.80000,0,1.93,0.27,-0.27,0,44.6570000,0.1039000,-0.1034000,7.0920900,0.0230000,-0.0230000,6.9608500,0.0005120,-0.0005120
4 UMa b,4 UMa,1,1,Radial Velocity,2006,0,270.27000000,0.24000000,-0.09000000,0,0.877000,0.001000,0.000000,0,2511.48007,63.24785,-120.13914,0,7.90200,0.19900,-0.37800,0,1.23,0.15,-0.15,0,73.4603000,1.1860500,-1.1860500,4.5801000,0.0230000,-0.0230000,4.2377300,0.0047288,-0.0047288
42 Dra b,42 Dra,2,1,Radial Velocity,2008,0,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,1233.13000,270.14000,-270.14000,0,3.88000,0.85000,-0.85000,0,0.98,0.05,-0.05,0,90.6545000,1.3227000,-1.3227000,4.8262000,0.0230000,-0.0230000,4.4321600,0.0062380,-0.0062380
47 UMa b,47 UMa,1,3,Radial Velocity,1996,0,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,804.08000,22.25000,-19.07000,0,2.53000,0.07000,-0.06000,0,1.06,0.13,-0.14,0,13.7967000,0.0289000,-0.0289000,5.0335200,0.0230000,-0.0230000,4.8783700,0.0038294,-0.0038294
47 UMa c,47 UMa,1,3,Radial Velocity,2001,0,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,171.62100,20.97600,-23.20100,0,0.54000,0.06600,-0.07300,0,1.06,0.13,-0.14,0,13.7967000,0.0289000,-0.0289000,5.0335200,0.0230000,-0.0230000,4.8783700,0.0038294,-0.0038294
47 UMa d,47 UMa,1,3,Radial Velocity,2009,0,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,521.22000,92.17000,-152.55000,0,1.64000,0.29000,-0.48000,0,1.06,0.13,-0.14,0,13.7967000,0.0289000,-0.0289000,5.0335200,0.0230000,-0.0230000,4.8783700,0.0038294,-0.0038294
51 Eri b,51 Eri,3,1,Imaging,2015,0,11688.00000000,6209.25000000,-3287.25000000,0,13.200000,0.200000,-0.200000,0,635.66000,,,0,2.00000,,,0,1.75,0.05,-0.05,0,29.7575000,0.1213000,-0.1203000,5.2114900,0.0230000,-0.0230000,5.1580600,0.0023075,-0.0023075
51 Peg b,51 Peg,1,1,Radial Velocity,1995,0,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,146.20180,19.06980,-3.17830,0,0.46000,0.06000,-0.01000,0,1.03,0.17,-0.09,0,15.4614000,0.0297000,-0.0297000,5.4530900,0.0230000,-0.0230000,5.2864700,0.0027680,-0.0027680
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,0,14.65160000,0.00010000,-0.00010000,0,0.113400,0.000600,-0.000600,0,263.97850,1.04880,-1.04880,0,0.83060,0.00330,-0.00330,0,0.91,0.02,-0.02,0,12.5855000,0.0124000,-0.0123000,5.9508400,0.0230000,-0.0230000,5.7297300,0.0008523,-0.0008523
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,0,44.39890000,0.00420000,-0.00430000,0,0.237300,0.001300,-0.001300,0,54.47380,1.74800,-1.74800,0,0.17140,0.00550,-0.00550,0,0.91,0.02,-0.02,0,12.5855000,0.0124000,-0.0123000,5.9508400,0.0230000,-0.0230000,5.7297300,0.0008523,-0.0008523
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,0,5574.20000000,93.80000000,-88.60000000,0,5.957000,0.074000,-0.071000,0,1232.49300,21.61200,-21.61200,0,3.87800,0.06800,-0.06800,0,0.91,0.02,-0.02,0,12.5855000,0.0124000,-0.0123000,5.9508400,0.0230000,-0.0230000,5.7297300,0.0008523,-0.0008523
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0,0.73654740,0.00000130,-0.00000140,0,0.015440,0.000050,-0.000050,0,7.99000,0.32000,-0.33000,0,0.02514,0.00101,-0.00104,0,0.91,0.02,-0.02,0,12.5855000,0.0124000,-0.0123000,5.9508400,0.0230000,-0.0230000,5.7297300,0.0008523,-0.0008523
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,0,259.88000000,0.29000000,-0.29000000,0,0.770800,0.004300,-0.004400,0,44.81200,3.81400,-3.81400,0,0.14100,0.01200,-0.01200,0,0.91,0.02,-0.02,0,12.5855000,0.0124000,-0.0123000,5.9508400,0.0230000,-0.0230000,5.7297300,0.0008523,-0.0008523
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,0,919.86000000,1.92000000,-3.71000000,0,2.028000,0.003000,-0.005000,0,597.83523,12.07748,-28.28673,0,1.88100,0.03800,-0.08900,0,1.32,0.20,-0.21,0,54.6599000,0.2734000,-0.2734000,5.8730700,0.0230000,-0.0230000,5.6068600,0.0010850,-0.0010850
61 Vir b,61 Vir,1,3,Radial Velocity,2009,0,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,5.10000,0.50000,-0.50000,0,0.01600,0.00200,-0.00200,0,0.94,0.03,-0.03,0,8.5033200,0.0173700,-0.0173000,4.6955000,0.0462000,-0.0462000,4.5405200,0.0055701,-0.0055701
61 Vir c,61 Vir,1,3,Radial Velocity,2009,0,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,18.20000,1.10000,-1.10000,0,0.05700,0.00300,-0.00300,0,0.94,0.03,-0.03,0,8.5033200,0.0173700,-0.0173000,4.6955000,0.0462000,-0.0462000,4.5405200,0.0055701,-0.0055701
61 Vir d,61 Vir,1,3,Radial Velocity,2009,0,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,22.90000,2.60000,-2.60000,0,0.07200,0.00800,-0.00800,0,0.94,0.03,-0.03,0,8.5033200,0.0173700,-0.0173000,4.6955000,0.0462000,-0.0462000,4.5405200,0.0055701,-0.0055701
7 CMa b,7 CMa,1,2,Radial Velocity,2011,0,735.10000000,14.80000000,-1.00000000,0,1.758000,0.024000,-0.001000,0,587.98550,19.06980,-19.06980,0,1.85000,0.06000,-0.06000,0,1.34,0.11,-0.12,0,19.8101000,0.1648000,-0.1648000,3.9500000,0.0300000,-0.0300000,3.6785300,0.0041348,-0.0041348
7 CMa c,7 CMa,1,2,Radial Velocity,2019,0,996.00000000,1.50000000,-52.40000000,0,2.153000,0.003000,-0.080000,0,276.51210,19.06980,-19.06980,0,0.87000,0.06000,-0.06000,0,1.34,0.11,-0.12,0,19.8101000,0.1648000,-0.1648000,3.9500000,0.0300000,-0.0300000,3.6785300,0.0041348,-0.0041348
70 Vir b,70 Vir,1,1,Radial Velocity,1996,0,116.68800000,0.00540000,-0.00540000,0,0.481000,0.022000,-0.022000,0,2380.45000,193.87000,-193.87000,0,7.49000,0.61000,-0.61000,0,1.09,,,0,17.9011000,0.0560000,-0.0557000,4.9680800,0.0230000,-0.0230000,4.7617800,0.0044158,-0.0044158
75 Cet b,75 Cet,2,2,Radial Velocity,2012,0,696.62000000,1.33000000,-1.69000000,0,1.912000,0.002000,-0.003000,0,787.89662,23.51930,-28.60456,0,2.47900,0.07400,-0.09000,0,1.92,0.07,-0.08,0,82.9613000,0.7236500,-0.7236500,5.3532000,0.0230000,-0.0230000,5.0934300,0.0039324,-0.0039324
75 Cet c,75 Cet,2,2,Radial Velocity,2023,0,2051.62000000,45.98000000,-40.47000000,0,3.929000,0.058000,-0.052000,0,289.85951,27.96890,-45.44946,0,0.91200,0.08800,-0.14300,0,1.92,0.07,-0.08,0,82.9613000,0.7236500,-0.7236500,5.3532000,0.0230000,-0.0230000,5.0934300,0.0039324,-0.0039324
8 UMi b,8 UMi,1,1,Radial Velocity,2015,0,93.40000000,4.50000000,-4.50000000,0,0.490000,0.020000,-0.020000,0,416.35730,50.85280,-50.85280,0,1.31000,0.16000,-0.16000,0,1.44,0.19,-0.19,0,162.5520000,0.6510000,-0.6460000,6.8329500,0.0230000,-0.0230000,6.5589600,0.0002370,-0.0002370
81 Cet b,81 Cet,1,1,Radial Velocity,2008,0,1005.57000000,1.84000000,-1.94000000,0,2.104000,0.003000,-0.003000,0,1051.05854,24.79062,-21.29450,0,3.30700,0.07800,-0.06700,0,1.23,0.30,-0.25,0,101.2600000,1.2220000,-1.2220000,5.6430700,0.0230000,-0.0230000,5.3758800,0.0031065,-0.0031065
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,0,181.40000000,0.10000000,-0.10000000,0,0.700000,,,0,1017.00000,,,0,3.20000,,,0,1.40,0.10,-0.10,0,44.0304000,0.5132500,-0.5132500,4.2394600,0.0230000,-0.0230000,3.9531100,0.0088430,-0.0088430
AB Aur b,AB Aur,1,1,Imaging,2022,0,,,,,93.900000,49.300000,-49.300000,0,2860.45566,,,0,9.00000,,,0,2.40,0.20,-0.20,0,162.1270000,1.5260000,-1.4980000,7.0760000,0.0420000,-0.0420000,7.0785400,0.0010490,-0.0010490
AB Pic b,AB Pic,1,1,Imaging,2005,0,,,,,260.000000,,,0,4290.50000,158.90000,-158.90000,0,13.50000,0.50000,-0.50000,0,0.90,0.10,-0.10,0,50.0475000,0.0735000,-0.0733000,9.1300000,0.0300000,-0.0300000,8.8378000,0.0013320,-0.0013320
AF Lep b,AF Lep,1,1,Imaging,2023,0,8030.00000000,1800.00000000,-1800.00000000,0,8.400000,1.100000,-1.300000,0,1017.05090,222.47988,-190.69704,0,3.20000,0.70000,-0.60000,0,1.20,0.06,-0.06,0,26.8564000,0.0189000,-0.0188000,6.3320000,0.0350000,-0.0350000,6.1864400,0.0011395,-0.0011395
AU Mic b,AU Mic,1,3,Transit,2020,0,8.46299910,,,0,0.064500,0.001300,-0.001300,0,20.12000,1.57000,-1.72000,0,0.06330,0.00494,-0.00541,0,0.50,0.03,-0.03,0,9.7221000,0.0046250,-0.0046250,8.8100000,0.1000000,-0.1000000,7.8403800,0.0007310,-0.0007310
AU Mic c,AU Mic,1,3,Transit,2021,0,18.85899100,,,0,0.110100,0.002000,-0.002000,0,9.60000,2.07000,-2.31000,0,0.03020,0.00651,-0.00727,0,0.50,0.03,-0.03,0,9.7221000,0.0046250,-0.0046250,8.8100000,0.1000000,-0.1000000,7.8403800,0.0007310,-0.0007310
AU Mic d,AU Mic,1,3,Transit Timing Variations,2023,0,12.73596000,0.00793000,-0.00793000,0,,,,,1.05300,0.51100,-0.51100,0,0.00331,0.00161,-0.00161,0,0.51,0.03,-0.03,0,9.7221000,0.0046250,-0.0046250,8.8100000,0.1000000,-0.1000000,7.8403800,0.0007310,-0.0007310
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,0,481.90000000,2.70000000,-2.80000000,0,1.300000,0.100000,-0.100000,0,2034.11200,413.17900,-413.17900,0,6.40000,1.30000,-1.30000,0,1.14,0.25,-0.25,0,1070.6300000,63.8750000,-63.8750000,9.5770000,0.0080000,-0.0080000,8.9977000,0.0002920,-0.0002920
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,0,268.94000000,0.99000000,-0.99000000,0,0.780000,0.050000,-0.050000,0,330.54320,149.38010,-149.38010,0,1.04000,0.47000,-0.47000,0,0.49,0.33,-0.33,0,49.3520000,0.0846000,-0.0844000,9.7800000,0.0300000,-0.0300000,9.3510800,0.0002530,-0.0002530
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,0,153.22000000,0.44000000,-0.44000000,0,0.576000,0.027000,-0.027000,0,337.21763,85.81410,-85.81410,0,1.06100,0.27000,-0.27000,0,1.08,0.14,-0.14,0,768.0450000,45.0380000,-45.0380000,10.4100000,0.0100000,-0.0100000,9.9918000,0.0004580,-0.0004580
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,0,137.48000000,0.34000000,-0.34000000,0,0.539000,,,0,352.78000,,,0,1.11000,,,0,1.10,0.20,-0.20,0,426.4200000,6.4400000,-6.4400000,9.0100000,0.0300000,-0.0300000,8.7178000,0.0002910,-0.0002910
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,0,379.63000000,2.01000000,-2.01000000,0,1.450000,,,0,6807.63000,,,0,21.42000,,,0,2.80,1.50,-1.50,0,1539.7100000,189.9250000,-189.9250000,9.7430000,0.0080000,-0.0080000,9.2268400,0.0004420,-0.0004420
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,0,621.99000000,10.20000000,-10.20000000,0,2.010000,,,0,3963.17000,,,0,12.47000,,,0,2.80,1.50,-1.50,0,1539.7100000,189.9250000,-189.9250000,9.7430000,0.0080000,-0.0080000,9.2268400,0.0004420,-0.0004420
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,0,578.20000000,5.40000000,-5.40000000,0,1.300000,,,0,1334.88600,,,0,4.20000,,,0,0.80,0.20,-0.20,0,1322.5100000,80.5350000,-80.5350000,9.3670000,0.0080000,-0.0080000,8.9161300,0.0004680,-0.0004680
BD+20 594 b,BD+20 594,1,1,Transit,2016,0,41.68550000,0.00300000,-0.00300000,0,0.241000,0.019000,-0.017000,0,22.24810,9.53490,-9.53490,0,0.07000,0.03000,-0.03000,0,1.67,0.40,-0.40,0,179.4610000,1.2570000,-1.2400000,10.8490000,0.0120000,-0.0120000,10.8644000,0.0002490,-0.0002490
